,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1,80.9 +- 1.2,0.0 +- 0.0,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO_HRV,84.9 +- 1.0,44.0 +- 2.0,90.1 +- 0.9,88.3 +- 1.0,93.1 +- 1.0,48.9 +- 2.2
CNN_50_ENMO_HRV,85.1 +- 1.1,44.7 +- 2.2,90.0 +- 1.0,88.7 +- 1.0,92.8 +- 1.2,50.1 +- 2.5
CNN_100_ENMO_HRV,85.1 +- 1.1,44.8 +- 2.2,90.0 +- 1.0,88.9 +- 1.0,92.5 +- 1.2,50.9 +- 2.5
LSTM_20_ENMO_HRV,83.5 +- 1.0,43.5 +- 2.1,88.9 +- 0.9,89.6 +- 0.9,89.4 +- 1.1,56.5 +- 2.3
LSTM_50_ENMO_HRV,83.6 +- 1.1,42.4 +- 2.2,88.9 +- 0.9,89.5 +- 0.9,89.3 +- 1.2,54.3 +- 2.4
LSTM_100_ENMO_HRV,84.2 +- 1.0,37.6 +- 2.3,89.7 +- 0.9,87.9 +- 1.0,92.6 +- 1.1,43.1 +- 2.5
SGD_hinge,83.4 +- 1.1,35.3 +- 2.3,89.2 +- 0.9,87.2 +- 1.0,92.5 +- 1.1,40.5 +- 2.5
SGD_log,83.2 +- 1.1,38.2 +- 2.3,88.9 +- 0.9,88.1 +- 1.0,91.1 +- 1.2,46.5 +- 2.6
SGD_perceptron,79.1 +- 1.2,32.3 +- 2.0,85.6 +- 1.1,87.8 +- 1.0,85.1 +- 1.4,50.0 +- 2.2
Random_forest_300,83.3 +- 1.0,39.4 +- 2.2,89.0 +- 0.9,88.4 +- 1.0,90.7 +- 1.1,49.0 +- 2.5
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
