,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,80.9 +- 1.2,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HRV_0,29.0 +- 1.4,43.1 +- 1.7,56.1 +- 2.5,44.7 +- 2.3,89.5 +- 1.4
CNN_20_HRV_1,78.2 +- 1.5,86.9 +- 1.1,86.2 +- 1.3,89.5 +- 1.4,44.7 +- 2.3
CNN_50_HRV_0,30.1 +- 1.5,44.2 +- 1.8,60.7 +- 2.6,43.0 +- 2.3,91.3 +- 1.3
CNN_50_HRV_1,79.8 +- 1.5,87.9 +- 1.1,86.3 +- 1.2,91.3 +- 1.3,43.0 +- 2.3
CNN_100_HRV_0,30.6 +- 1.6,44.8 +- 1.8,60.7 +- 2.6,43.7 +- 2.3,91.0 +- 1.4
CNN_100_HRV_1,79.7 +- 1.5,87.8 +- 1.2,86.5 +- 1.1,91.0 +- 1.4,43.7 +- 2.3
LSTM_20_HRV_0,31.0 +- 1.4,45.6 +- 1.7,53.2 +- 2.3,48.4 +- 2.2,89.0 +- 1.2
LSTM_20_HRV_1,78.6 +- 1.4,87.3 +- 1.0,87.1 +- 1.2,89.0 +- 1.2,48.4 +- 2.2
LSTM_50_HRV_0,29.6 +- 1.7,43.3 +- 2.0,52.5 +- 2.6,46.4 +- 2.4,88.3 +- 1.3
LSTM_50_HRV_1,77.9 +- 1.4,86.8 +- 1.1,87.2 +- 1.1,88.3 +- 1.3,46.4 +- 2.4
LSTM_100_HRV_0,27.5 +- 1.7,40.5 +- 2.1,51.1 +- 2.7,42.6 +- 2.5,89.0 +- 1.3
LSTM_100_HRV_1,78.1 +- 1.4,87.0 +- 1.0,86.8 +- 1.1,89.0 +- 1.3,42.6 +- 2.5
SGD_hinge_0,11.5 +- 1.1,19.1 +- 1.6,69.4 +- 3.2,15.4 +- 1.8,96.6 +- 1.0
SGD_hinge_1,79.9 +- 1.4,88.2 +- 1.0,82.6 +- 1.2,96.6 +- 1.0,15.4 +- 1.8
SGD_log_0,19.7 +- 1.3,31.1 +- 1.8,60.3 +- 3.0,32.6 +- 2.7,89.1 +- 1.9
SGD_log_1,75.8 +- 1.8,84.8 +- 1.5,84.4 +- 1.3,89.1 +- 1.9,32.6 +- 2.7
SGD_perceptron_0,16.0 +- 1.1,26.2 +- 1.5,21.3 +- 1.7,53.0 +- 2.3,44.4 +- 2.8
SGD_perceptron_1,39.2 +- 2.4,52.6 +- 2.5,78.0 +- 1.5,44.4 +- 2.8,53.0 +- 2.3
Random_forest_300_0,21.0 +- 1.1,33.4 +- 1.5,51.2 +- 2.6,36.5 +- 2.4,86.7 +- 1.9
Random_forest_300_1,74.3 +- 1.8,83.9 +- 1.5,84.7 +- 1.2,86.7 +- 1.9,36.5 +- 2.4
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
