,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1,80.9 +- 1.2,0.0 +- 0.0,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HRV,80.3 +- 1.3,33.3 +- 1.9,86.9 +- 1.1,86.2 +- 1.3,89.5 +- 1.4,44.7 +- 2.3
CNN_50_HRV,81.7 +- 1.2,35.3 +- 1.9,87.9 +- 1.1,86.3 +- 1.2,91.3 +- 1.3,43.0 +- 2.3
CNN_100_HRV,81.7 +- 1.3,35.7 +- 2.0,87.8 +- 1.2,86.5 +- 1.1,91.0 +- 1.4,43.7 +- 2.3
LSTM_20_HRV,80.9 +- 1.1,35.4 +- 1.8,87.3 +- 1.0,87.1 +- 1.2,89.0 +- 1.2,48.4 +- 2.2
LSTM_50_HRV,80.2 +- 1.2,33.1 +- 2.0,86.8 +- 1.1,87.2 +- 1.1,88.3 +- 1.3,46.4 +- 2.4
LSTM_100_HRV,80.2 +- 1.2,30.6 +- 2.1,87.0 +- 1.0,86.8 +- 1.1,89.0 +- 1.3,42.6 +- 2.5
SGD_hinge,80.6 +- 1.3,14.7 +- 1.4,88.2 +- 1.0,82.6 +- 1.2,96.6 +- 1.0,15.4 +- 1.8
SGD_log,77.6 +- 1.6,22.4 +- 1.8,84.8 +- 1.5,84.4 +- 1.3,89.1 +- 1.9,32.6 +- 2.7
SGD_perceptron,46.4 +- 2.1,1.2 +- 1.1,52.6 +- 2.5,78.0 +- 1.5,44.4 +- 2.8,53.0 +- 2.3
Random_forest_300,76.6 +- 1.5,22.7 +- 1.5,83.9 +- 1.5,84.7 +- 1.2,86.7 +- 1.9,36.5 +- 2.4
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
