,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1,80.9 +- 1.2,0.0 +- 0.0,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO,83.0 +- 1.1,31.9 +- 2.3,89.0 +- 0.9,86.6 +- 1.0,92.5 +- 1.1,36.9 +- 2.5
CNN_50_ENMO,85.3 +- 1.1,45.4 +- 2.2,90.2 +- 0.9,88.8 +- 1.0,92.9 +- 1.1,50.7 +- 2.4
CNN_100_ENMO,85.5 +- 1.0,43.5 +- 2.2,90.5 +- 0.8,88.3 +- 1.0,93.9 +- 0.9,46.9 +- 2.5
LSTM_20_ENMO,82.4 +- 1.0,34.4 +- 2.3,88.4 +- 0.9,87.7 +- 1.0,90.3 +- 1.1,43.5 +- 2.5
LSTM_50_ENMO,83.5 +- 1.1,42.1 +- 2.2,88.9 +- 0.9,89.5 +- 0.9,89.5 +- 1.2,53.8 +- 2.4
LSTM_100_ENMO,83.9 +- 1.0,38.6 +- 2.3,89.4 +- 0.9,88.5 +- 0.9,91.3 +- 1.1,46.2 +- 2.5
SGD_hinge,83.3 +- 1.1,32.6 +- 2.3,89.2 +- 0.9,86.6 +- 1.0,93.1 +- 1.0,36.9 +- 2.4
SGD_log,82.9 +- 1.1,33.0 +- 2.4,88.8 +- 0.9,87.0 +- 1.0,91.9 +- 1.2,39.2 +- 2.5
SGD_perceptron,63.3 +- 1.2,18.0 +- 1.5,71.8 +- 1.3,88.0 +- 1.0,62.3 +- 1.6,65.2 +- 1.7
Random_forest_300,82.0 +- 1.0,33.6 +- 2.2,88.2 +- 0.9,87.6 +- 1.0,89.8 +- 1.1,43.8 +- 2.4
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
