,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,80.9 +- 1.2,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO_HRV_0,37.4 +- 1.7,52.2 +- 1.9,67.4 +- 2.4,48.9 +- 2.2,93.1 +- 1.0
CNN_20_ENMO_HRV_1,82.9 +- 1.3,90.1 +- 0.9,88.3 +- 1.0,93.1 +- 1.0,48.9 +- 2.2
CNN_50_ENMO_HRV_0,38.2 +- 1.9,52.7 +- 2.0,68.5 +- 2.5,50.1 +- 2.5,92.8 +- 1.2
CNN_50_ENMO_HRV_1,82.9 +- 1.3,90.0 +- 1.0,88.7 +- 1.0,92.8 +- 1.2,50.1 +- 2.5
CNN_100_ENMO_HRV_0,38.4 +- 1.9,52.9 +- 2.0,67.8 +- 2.5,50.9 +- 2.5,92.5 +- 1.2
CNN_100_ENMO_HRV_1,82.9 +- 1.4,90.0 +- 1.0,88.9 +- 1.0,92.5 +- 1.2,50.9 +- 2.5
LSTM_20_ENMO_HRV_0,38.2 +- 1.8,53.0 +- 1.9,57.9 +- 2.4,56.5 +- 2.3,89.4 +- 1.1
LSTM_20_ENMO_HRV_1,81.0 +- 1.3,88.9 +- 0.9,89.6 +- 0.9,89.4 +- 1.1,56.5 +- 2.3
LSTM_50_ENMO_HRV_0,37.5 +- 1.9,51.9 +- 2.1,57.7 +- 2.5,54.3 +- 2.4,89.3 +- 1.2
LSTM_50_ENMO_HRV_1,81.0 +- 1.3,88.9 +- 0.9,89.5 +- 0.9,89.3 +- 1.2,54.3 +- 2.4
LSTM_100_ENMO_HRV_0,32.7 +- 2.0,45.9 +- 2.3,61.1 +- 2.8,43.1 +- 2.5,92.6 +- 1.1
LSTM_100_ENMO_HRV_1,82.2 +- 1.2,89.7 +- 0.9,87.9 +- 1.0,92.6 +- 1.1,43.1 +- 2.5
SGD_hinge_0,30.7 +- 1.9,43.9 +- 2.3,60.6 +- 2.9,40.5 +- 2.5,92.5 +- 1.1
SGD_hinge_1,81.5 +- 1.3,89.2 +- 0.9,87.2 +- 1.0,92.5 +- 1.1,40.5 +- 2.5
SGD_log_0,33.4 +- 1.9,47.2 +- 2.2,60.9 +- 2.8,46.5 +- 2.6,91.1 +- 1.2
SGD_log_1,81.0 +- 1.3,88.9 +- 0.9,88.1 +- 1.0,91.1 +- 1.2,46.5 +- 2.6
SGD_perceptron_0,30.3 +- 1.6,44.4 +- 1.9,46.8 +- 2.4,50.0 +- 2.2,85.1 +- 1.4
SGD_perceptron_1,76.2 +- 1.5,85.6 +- 1.1,87.8 +- 1.0,85.1 +- 1.4,50.0 +- 2.2
Random_forest_300_0,34.6 +- 1.9,48.7 +- 2.1,59.2 +- 2.7,49.0 +- 2.5,90.7 +- 1.1
Random_forest_300_1,81.0 +- 1.3,89.0 +- 0.9,88.4 +- 1.0,90.7 +- 1.1,49.0 +- 2.5
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
