,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,80.9 +- 1.2,88.9 +- 0.8,80.9 +- 1.2,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO_0,28.1 +- 1.9,40.6 +- 2.3,58.1 +- 3.1,36.9 +- 2.5,92.5 +- 1.1
CNN_20_ENMO_1,81.1 +- 1.3,89.0 +- 0.9,86.6 +- 1.0,92.5 +- 1.1,36.9 +- 2.5
CNN_50_ENMO_0,38.8 +- 1.9,53.3 +- 2.0,68.7 +- 2.4,50.7 +- 2.4,92.9 +- 1.1
CNN_50_ENMO_1,83.2 +- 1.3,90.2 +- 0.9,88.8 +- 1.0,92.9 +- 1.1,50.7 +- 2.4
CNN_100_ENMO_0,36.9 +- 2.0,51.1 +- 2.1,69.4 +- 2.4,46.9 +- 2.5,93.9 +- 0.9
CNN_100_ENMO_1,83.5 +- 1.2,90.5 +- 0.8,88.3 +- 1.0,93.9 +- 0.9,46.9 +- 2.5
LSTM_20_ENMO_0,30.9 +- 1.9,44.2 +- 2.2,54.2 +- 2.8,43.5 +- 2.5,90.3 +- 1.1
LSTM_20_ENMO_1,80.2 +- 1.3,88.4 +- 0.9,87.7 +- 1.0,90.3 +- 1.1,43.5 +- 2.5
LSTM_50_ENMO_0,37.2 +- 1.9,51.5 +- 2.1,57.9 +- 2.5,53.8 +- 2.4,89.5 +- 1.2
LSTM_50_ENMO_1,81.0 +- 1.3,88.9 +- 0.9,89.5 +- 0.9,89.5 +- 1.2,53.8 +- 2.4
LSTM_100_ENMO_0,34.0 +- 2.0,47.5 +- 2.3,58.1 +- 2.7,46.2 +- 2.5,91.3 +- 1.1
LSTM_100_ENMO_1,81.7 +- 1.3,89.4 +- 0.9,88.5 +- 0.9,91.3 +- 1.1,46.2 +- 2.5
SGD_hinge_0,28.5 +- 1.9,41.0 +- 2.3,59.0 +- 3.1,36.9 +- 2.4,93.1 +- 1.0
SGD_hinge_1,81.4 +- 1.3,89.2 +- 0.9,86.6 +- 1.0,93.1 +- 1.0,36.9 +- 2.4
SGD_log_0,29.2 +- 2.0,41.9 +- 2.4,56.9 +- 3.1,39.2 +- 2.5,91.9 +- 1.2
SGD_log_1,80.8 +- 1.3,88.8 +- 0.9,87.0 +- 1.0,91.9 +- 1.2,39.2 +- 2.5
SGD_perceptron_0,24.6 +- 1.4,37.7 +- 1.7,29.1 +- 1.8,65.2 +- 1.7,62.3 +- 1.6
SGD_perceptron_1,57.4 +- 1.5,71.8 +- 1.3,88.0 +- 1.0,62.3 +- 1.6,65.2 +- 1.7
Random_forest_300_0,30.3 +- 1.8,43.8 +- 2.1,51.9 +- 2.6,43.8 +- 2.4,89.8 +- 1.1
Random_forest_300_1,79.7 +- 1.3,88.2 +- 0.9,87.6 +- 1.0,89.8 +- 1.1,43.8 +- 2.4
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
