,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,8.2 +- 0.7,5.2 +- 0.6,25.9 +- 0.5,74.1 +- 0.5
always_1,57.4 +- 1.2,0.0 +- 0.0,18.8 +- 0.6,15.0 +- 0.6,25.9 +- 0.5,74.1 +- 0.5
always_2,9.0 +- 0.9,0.0 +- 0.0,4.1 +- 0.6,2.5 +- 0.6,23.8 +- 0.7,74.7 +- 0.4
always_3,15.1 +- 0.8,0.0 +- 0.0,6.7 +- 0.6,4.0 +- 0.6,25.3 +- 0.5,74.3 +- 0.5
CNN_20_ENMO_HRV,64.7 +- 1.1,39.9 +- 1.9,44.5 +- 1.0,49.5 +- 1.2,47.3 +- 1.0,82.8 +- 0.6
CNN_50_ENMO_HRV,64.6 +- 1.2,43.3 +- 2.0,46.1 +- 1.1,51.6 +- 1.4,50.1 +- 1.0,83.8 +- 0.6
CNN_100_ENMO_HRV,65.6 +- 1.2,42.6 +- 2.0,47.1 +- 1.1,54.8 +- 1.5,49.8 +- 1.1,83.7 +- 0.7
LSTM_20_ENMO_HRV,65.4 +- 1.1,41.4 +- 1.9,45.6 +- 1.0,51.4 +- 1.3,48.4 +- 0.9,83.4 +- 0.6
LSTM_50_ENMO_HRV,66.5 +- 1.1,44.8 +- 2.2,47.4 +- 1.1,53.8 +- 1.4,50.2 +- 1.0,84.1 +- 0.7
LSTM_100_ENMO_HRV,66.5 +- 1.1,40.6 +- 2.1,46.2 +- 1.2,55.5 +- 1.6,47.5 +- 1.1,82.9 +- 0.6
SGD_hinge,60.4 +- 1.2,18.5 +- 1.3,31.0 +- 0.9,31.1 +- 1.0,35.5 +- 0.8,77.9 +- 0.6
SGD_log,60.3 +- 1.2,18.6 +- 1.3,31.1 +- 0.9,31.6 +- 1.1,35.8 +- 0.8,78.1 +- 0.6
SGD_perceptron,51.7 +- 1.3,-1.8 +- 1.2,26.8 +- 0.7,33.4 +- 0.8,28.5 +- 0.6,77.1 +- 0.5
Random_forest_300,60.1 +- 1.1,20.8 +- 1.3,32.5 +- 0.8,40.8 +- 1.4,36.7 +- 0.7,78.7 +- 0.6
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
