,accuracy,f1-score,precision,recall,specificity
CNN_20_HRV_3,26.1 +- 1.9,37.9 +- 2.5,51.6 +- 3.0,37.8 +- 2.9,93.5 +- 0.9
CNN_50_HRV_0,33.2 +- 1.5,47.8 +- 1.8,56.6 +- 2.5,51.7 +- 2.3,88.1 +- 1.5
CNN_50_HRV_1,58.4 +- 1.5,72.7 +- 1.3,69.2 +- 1.4,80.2 +- 1.7,52.3 +- 2.0
CNN_50_HRV_2,1.8 +- 0.6,3.0 +- 0.8,17.5 +- 3.6,2.1 +- 0.8,99.8 +- 0.1
CNN_50_HRV_3,31.0 +- 2.2,43.1 +- 2.7,51.2 +- 3.1,46.6 +- 3.3,91.8 +- 1.0
CNN_100_HRV_0,33.3 +- 1.5,48.1 +- 1.7,55.5 +- 2.5,53.1 +- 2.2,86.6 +- 1.7
CNN_100_HRV_1,57.5 +- 1.5,71.9 +- 1.3,69.8 +- 1.5,77.4 +- 1.8,56.2 +- 1.9
CNN_100_HRV_2,4.4 +- 0.8,7.1 +- 1.3,28.7 +- 4.2,5.4 +- 1.2,99.5 +- 0.1
CNN_100_HRV_3,33.5 +- 2.2,46.4 +- 2.6,50.4 +- 2.8,51.3 +- 3.2,91.3 +- 0.8
LSTM_20_HRV_0,32.4 +- 1.4,47.3 +- 1.6,47.5 +- 2.1,57.2 +- 2.1,84.2 +- 1.3
LSTM_20_HRV_1,59.2 +- 1.4,73.4 +- 1.2,69.7 +- 1.4,80.2 +- 1.5,53.8 +- 1.7
LSTM_20_HRV_2,0.9 +- 0.3,1.5 +- 0.5,14.2 +- 3.4,0.9 +- 0.3,99.9 +- 0.0
LSTM_20_HRV_3,30.0 +- 2.0,42.5 +- 2.5,56.6 +- 3.0,40.2 +- 2.8,94.8 +- 0.6
LSTM_50_HRV_0,33.1 +- 1.6,47.6 +- 1.8,50.0 +- 2.3,54.4 +- 2.2,86.3 +- 1.3
LSTM_50_HRV_1,60.3 +- 1.4,74.3 +- 1.2,69.7 +- 1.4,81.9 +- 1.4,53.3 +- 1.7
LSTM_50_HRV_2,3.2 +- 0.7,5.3 +- 1.1,22.1 +- 3.9,4.6 +- 1.4,99.7 +- 0.1
LSTM_50_HRV_3,32.1 +- 2.2,44.4 +- 2.7,58.6 +- 3.2,41.9 +- 2.9,94.9 +- 0.6
LSTM_100_HRV_0,32.2 +- 1.7,46.3 +- 2.0,50.9 +- 2.4,51.7 +- 2.4,86.9 +- 1.4
LSTM_100_HRV_1,60.1 +- 1.5,74.1 +- 1.2,69.8 +- 1.4,81.7 +- 1.5,53.1 +- 1.8
LSTM_100_HRV_2,5.8 +- 1.1,9.3 +- 1.6,26.3 +- 4.0,7.7 +- 1.6,99.4 +- 0.1
LSTM_100_HRV_3,34.4 +- 2.3,46.6 +- 2.8,57.4 +- 3.2,44.3 +- 2.9,94.9 +- 0.5
SGD_hinge_0,20.7 +- 1.4,32.4 +- 1.8,54.4 +- 3.1,40.5 +- 3.0,81.6 +- 2.7
SGD_hinge_1,53.1 +- 1.7,67.6 +- 1.8,61.6 +- 1.5,83.3 +- 2.6,29.4 +- 2.8
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_hinge_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,23.0 +- 1.3,35.7 +- 1.7,51.1 +- 2.9,46.3 +- 2.9,79.1 +- 2.7
SGD_log_1,52.2 +- 1.8,66.7 +- 1.8,62.2 +- 1.5,80.6 +- 2.7,33.1 +- 2.8
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,13.9 +- 0.8,23.5 +- 1.2,46.8 +- 2.3,20.3 +- 1.4,93.3 +- 0.9
SGD_perceptron_1,18.8 +- 2.2,27.1 +- 2.8,51.7 +- 3.1,25.3 +- 3.1,79.4 +- 2.7
SGD_perceptron_2,4.0 +- 0.7,7.1 +- 1.1,6.6 +- 1.1,23.4 +- 3.3,73.7 +- 2.9
SGD_perceptron_3,11.8 +- 1.0,19.8 +- 1.6,17.4 +- 1.8,44.8 +- 3.7,58.6 +- 3.5
Random_forest_300_0,22.8 +- 1.1,35.8 +- 1.5,39.1 +- 2.2,49.6 +- 2.5,75.6 +- 2.4
Random_forest_300_1,50.7 +- 1.6,65.8 +- 1.6,62.5 +- 1.3,76.7 +- 2.4,37.3 +- 2.4
Random_forest_300_2,0.1 +- 0.0,0.1 +- 0.1,3.3 +- 1.6,0.1 +- 0.0,100.0 +- 0.0
Random_forest_300_3,1.1 +- 0.2,2.1 +- 0.4,25.3 +- 3.7,1.2 +- 0.3,99.6 +- 0.1
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
stages_2,100.0 +- 0.0,94.0 +- 2.5,94.0 +- 2.5,94.0 +- 2.5,100.0 +- 0.0
stages_3,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
