,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,8.2 +- 0.7,5.2 +- 0.6,25.9 +- 0.5,74.1 +- 0.5
always_1,57.4 +- 1.2,0.0 +- 0.0,18.8 +- 0.6,15.0 +- 0.6,25.9 +- 0.5,74.1 +- 0.5
always_2,9.0 +- 0.9,0.0 +- 0.0,4.1 +- 0.6,2.5 +- 0.6,23.8 +- 0.7,74.7 +- 0.4
always_3,15.1 +- 0.8,0.0 +- 0.0,6.7 +- 0.6,4.0 +- 0.6,25.3 +- 0.5,74.3 +- 0.5
CNN_20_ENMO,59.8 +- 1.1,15.9 +- 1.4,29.4 +- 0.9,30.2 +- 1.0,33.5 +- 0.8,77.2 +- 0.6
CNN_50_ENMO,59.3 +- 1.1,17.0 +- 1.4,29.4 +- 0.8,29.6 +- 1.0,33.9 +- 0.8,77.5 +- 0.6
CNN_100_ENMO,59.6 +- 1.1,16.2 +- 1.4,29.2 +- 0.9,30.4 +- 1.0,33.5 +- 0.8,77.4 +- 0.6
LSTM_20_ENMO,60.1 +- 1.1,15.9 +- 1.3,29.5 +- 0.9,30.1 +- 1.0,33.5 +- 0.8,77.3 +- 0.6
LSTM_50_ENMO,60.0 +- 1.1,16.2 +- 1.4,29.3 +- 0.9,29.9 +- 1.0,33.4 +- 0.8,77.3 +- 0.6
LSTM_100_ENMO,59.9 +- 1.1,15.7 +- 1.4,28.9 +- 0.9,29.2 +- 1.0,33.1 +- 0.8,77.2 +- 0.6
SGD_hinge,60.0 +- 1.1,16.7 +- 1.4,29.7 +- 0.9,30.3 +- 1.0,33.8 +- 0.8,77.3 +- 0.6
SGD_log,59.9 +- 1.1,17.0 +- 1.4,29.8 +- 0.9,30.2 +- 1.0,34.0 +- 0.8,77.5 +- 0.6
SGD_perceptron,38.2 +- 1.0,3.4 +- 1.0,26.5 +- 0.7,31.9 +- 0.8,26.9 +- 0.7,76.1 +- 0.5
Random_forest_300,57.7 +- 1.1,17.2 +- 1.3,30.1 +- 0.7,34.7 +- 1.0,33.8 +- 0.7,77.8 +- 0.6
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
