,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,66.5 +- 1.4,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO_0,51.5 +- 1.9,66.0 +- 1.8,82.0 +- 1.9,58.7 +- 2.1,92.5 +- 1.1
CNN_20_ENMO_1,76.4 +- 1.4,85.9 +- 1.0,81.5 +- 1.3,92.5 +- 1.1,58.7 +- 2.1
CNN_50_ENMO_0,59.6 +- 1.8,73.1 +- 1.6,85.3 +- 1.6,67.6 +- 2.0,92.9 +- 1.1
CNN_50_ENMO_1,79.4 +- 1.4,87.8 +- 1.1,84.6 +- 1.3,92.9 +- 1.1,67.6 +- 2.0
CNN_100_ENMO_0,60.0 +- 1.8,73.4 +- 1.6,86.5 +- 1.5,67.1 +- 2.0,93.8 +- 1.0
CNN_100_ENMO_1,80.1 +- 1.4,88.3 +- 1.0,84.7 +- 1.3,93.8 +- 1.0,67.1 +- 2.0
LSTM_20_ENMO_0,53.7 +- 1.8,68.2 +- 1.7,78.3 +- 1.9,63.7 +- 2.0,90.2 +- 1.1
LSTM_20_ENMO_1,76.1 +- 1.4,85.7 +- 1.0,83.0 +- 1.2,90.2 +- 1.1,63.7 +- 2.0
LSTM_50_ENMO_0,60.5 +- 1.7,74.0 +- 1.4,79.6 +- 1.7,72.5 +- 1.7,89.4 +- 1.2
LSTM_50_ENMO_1,78.2 +- 1.4,87.0 +- 1.0,86.2 +- 1.2,89.4 +- 1.2,72.5 +- 1.7
LSTM_100_ENMO_0,59.9 +- 1.8,73.4 +- 1.6,81.7 +- 1.7,69.7 +- 1.8,91.2 +- 1.1
LSTM_100_ENMO_1,79.1 +- 1.4,87.6 +- 1.0,85.5 +- 1.2,91.2 +- 1.1,69.7 +- 1.8
SGD_hinge_0,51.2 +- 1.9,65.6 +- 1.9,82.8 +- 2.0,57.9 +- 2.1,93.0 +- 1.0
SGD_hinge_1,76.7 +- 1.4,86.1 +- 1.0,81.4 +- 1.3,93.0 +- 1.0,57.9 +- 2.1
SGD_log_0,52.6 +- 1.9,66.9 +- 1.8,81.3 +- 2.0,60.6 +- 2.1,91.8 +- 1.2
SGD_log_1,76.5 +- 1.5,85.9 +- 1.1,82.2 +- 1.3,91.8 +- 1.2,60.6 +- 2.1
SGD_perceptron_0,41.5 +- 1.3,57.5 +- 1.3,49.7 +- 1.7,73.5 +- 1.3,62.2 +- 1.6
SGD_perceptron_1,54.3 +- 1.5,69.2 +- 1.3,81.3 +- 1.3,62.2 +- 1.6,73.5 +- 1.3
Random_forest_300_0,52.9 +- 1.8,67.4 +- 1.7,76.8 +- 1.9,63.4 +- 2.0,89.7 +- 1.1
Random_forest_300_1,75.6 +- 1.4,85.4 +- 1.0,82.9 +- 1.3,89.7 +- 1.1,63.4 +- 2.0
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
