,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1,66.5 +- 1.4,0.0 +- 0.0,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO,81.4 +- 1.1,53.6 +- 2.2,85.9 +- 1.0,81.5 +- 1.3,92.5 +- 1.1,58.7 +- 2.1
CNN_50_ENMO,84.4 +- 1.0,62.2 +- 2.1,87.8 +- 1.1,84.6 +- 1.3,92.9 +- 1.1,67.6 +- 2.0
CNN_100_ENMO,84.9 +- 1.0,63.0 +- 2.0,88.3 +- 1.0,84.7 +- 1.3,93.8 +- 1.0,67.1 +- 2.0
LSTM_20_ENMO,81.6 +- 1.0,55.1 +- 2.1,85.7 +- 1.0,83.0 +- 1.2,90.2 +- 1.1,63.7 +- 2.0
LSTM_50_ENMO,83.9 +- 1.0,62.0 +- 2.0,87.0 +- 1.0,86.2 +- 1.2,89.4 +- 1.2,72.5 +- 1.7
LSTM_100_ENMO,84.3 +- 1.0,62.0 +- 2.0,87.6 +- 1.0,85.5 +- 1.2,91.2 +- 1.1,69.7 +- 1.8
SGD_hinge,81.5 +- 1.1,53.6 +- 2.2,86.1 +- 1.0,81.4 +- 1.3,93.0 +- 1.0,57.9 +- 2.1
SGD_log,81.6 +- 1.1,54.5 +- 2.3,85.9 +- 1.1,82.2 +- 1.3,91.8 +- 1.2,60.6 +- 2.1
SGD_perceptron,66.0 +- 1.0,30.7 +- 1.6,69.2 +- 1.3,81.3 +- 1.3,62.2 +- 1.6,73.5 +- 1.3
Random_forest_300,81.2 +- 1.0,54.1 +- 2.1,85.4 +- 1.0,82.9 +- 1.3,89.7 +- 1.1,63.4 +- 2.0
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
