,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,66.5 +- 1.4,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO_HRV_0,56.2 +- 1.8,70.4 +- 1.6,84.3 +- 1.6,63.8 +- 2.0,93.0 +- 1.0
CNN_20_ENMO_HRV_1,78.2 +- 1.4,87.1 +- 1.0,83.1 +- 1.3,93.0 +- 1.0,63.8 +- 2.0
CNN_50_ENMO_HRV_0,59.2 +- 1.8,72.8 +- 1.6,85.2 +- 1.6,67.3 +- 2.0,92.7 +- 1.2
CNN_50_ENMO_HRV_1,79.2 +- 1.5,87.6 +- 1.1,84.5 +- 1.3,92.7 +- 1.2,67.3 +- 2.0
CNN_100_ENMO_HRV_0,59.5 +- 1.8,73.1 +- 1.5,84.9 +- 1.6,67.9 +- 2.0,92.4 +- 1.2
CNN_100_ENMO_HRV_1,79.2 +- 1.5,87.6 +- 1.1,84.8 +- 1.3,92.4 +- 1.2,67.9 +- 2.0
LSTM_20_ENMO_HRV_0,58.7 +- 1.6,72.6 +- 1.4,78.5 +- 1.7,71.0 +- 1.8,89.3 +- 1.1
LSTM_20_ENMO_HRV_1,77.4 +- 1.4,86.6 +- 1.0,85.4 +- 1.2,89.3 +- 1.1,71.0 +- 1.8
LSTM_50_ENMO_HRV_0,60.6 +- 1.7,74.1 +- 1.4,79.4 +- 1.7,72.7 +- 1.7,89.2 +- 1.2
LSTM_50_ENMO_HRV_1,78.2 +- 1.4,87.0 +- 1.1,86.3 +- 1.2,89.2 +- 1.2,72.7 +- 1.7
LSTM_100_ENMO_HRV_0,59.2 +- 1.8,72.7 +- 1.6,83.5 +- 1.7,67.4 +- 1.9,92.5 +- 1.1
LSTM_100_ENMO_HRV_1,79.3 +- 1.4,87.8 +- 1.0,84.7 +- 1.2,92.5 +- 1.1,67.4 +- 1.9
SGD_hinge_0,52.6 +- 1.9,67.0 +- 1.8,82.3 +- 1.9,60.2 +- 2.1,92.5 +- 1.1
SGD_hinge_1,76.9 +- 1.4,86.2 +- 1.0,82.1 +- 1.3,92.5 +- 1.1,60.2 +- 2.1
SGD_log_0,54.6 +- 1.8,68.8 +- 1.7,81.0 +- 1.9,64.1 +- 2.1,91.0 +- 1.2
SGD_log_1,76.7 +- 1.5,86.0 +- 1.1,83.3 +- 1.3,91.0 +- 1.2,64.1 +- 2.1
SGD_perceptron_0,50.4 +- 1.6,65.6 +- 1.5,70.9 +- 1.9,65.2 +- 1.9,85.1 +- 1.4
SGD_perceptron_1,71.9 +- 1.5,82.7 +- 1.2,82.5 +- 1.3,85.1 +- 1.4,65.2 +- 1.9
Random_forest_300_0,55.4 +- 1.8,69.6 +- 1.7,79.7 +- 1.9,65.7 +- 2.1,90.6 +- 1.1
Random_forest_300_1,76.9 +- 1.4,86.2 +- 1.0,83.7 +- 1.3,90.6 +- 1.1,65.7 +- 2.1
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
