,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1,66.5 +- 1.4,0.0 +- 0.0,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_ENMO_HRV,83.2 +- 1.0,58.8 +- 2.0,87.1 +- 1.0,83.1 +- 1.3,93.0 +- 1.0,63.8 +- 2.0
CNN_50_ENMO_HRV,84.3 +- 1.0,61.7 +- 2.1,87.6 +- 1.1,84.5 +- 1.3,92.7 +- 1.2,67.3 +- 2.0
CNN_100_ENMO_HRV,84.4 +- 1.0,62.0 +- 2.0,87.6 +- 1.1,84.8 +- 1.3,92.4 +- 1.2,67.9 +- 2.0
LSTM_20_ENMO_HRV,83.2 +- 1.0,60.2 +- 1.9,86.6 +- 1.0,85.4 +- 1.2,89.3 +- 1.1,71.0 +- 1.8
LSTM_50_ENMO_HRV,84.0 +- 1.0,62.0 +- 2.0,87.0 +- 1.1,86.3 +- 1.2,89.2 +- 1.2,72.7 +- 1.7
LSTM_100_ENMO_HRV,84.4 +- 1.0,61.6 +- 2.1,87.8 +- 1.0,84.7 +- 1.2,92.5 +- 1.1,67.4 +- 1.9
SGD_hinge,81.8 +- 1.1,54.9 +- 2.2,86.2 +- 1.0,82.1 +- 1.3,92.5 +- 1.1,60.2 +- 2.1
SGD_log,82.1 +- 1.1,56.4 +- 2.2,86.0 +- 1.1,83.3 +- 1.3,91.0 +- 1.2,64.1 +- 2.1
SGD_perceptron,78.6 +- 1.1,49.8 +- 2.0,82.7 +- 1.2,82.5 +- 1.3,85.1 +- 1.4,65.2 +- 1.9
Random_forest_300,82.3 +- 1.0,57.1 +- 2.1,86.2 +- 1.0,83.7 +- 1.3,90.6 +- 1.1,65.7 +- 2.1
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
