,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,66.5 +- 1.4,79.1 +- 1.1,66.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
CNN_20_HRV_0,40.3 +- 1.6,55.7 +- 1.7,75.0 +- 2.0,50.3 +- 2.2,89.4 +- 1.4
CNN_20_HRV_1,70.6 +- 1.5,81.7 +- 1.2,77.4 +- 1.5,89.4 +- 1.4,50.3 +- 2.2
CNN_50_HRV_0,45.2 +- 1.7,60.5 +- 1.7,79.7 +- 1.8,54.0 +- 2.1,91.3 +- 1.3
CNN_50_HRV_1,73.2 +- 1.6,83.5 +- 1.2,78.9 +- 1.5,91.3 +- 1.3,54.0 +- 2.1
CNN_100_HRV_0,48.0 +- 1.7,63.1 +- 1.6,80.2 +- 1.8,57.0 +- 2.1,91.0 +- 1.4
CNN_100_HRV_1,73.9 +- 1.6,83.9 +- 1.3,79.9 +- 1.5,91.0 +- 1.4,57.0 +- 2.1
LSTM_20_HRV_0,45.9 +- 1.5,61.6 +- 1.4,74.2 +- 1.8,57.0 +- 1.8,88.9 +- 1.2
LSTM_20_HRV_1,72.2 +- 1.5,83.0 +- 1.2,79.5 +- 1.4,88.9 +- 1.2,57.0 +- 1.8
LSTM_50_HRV_0,48.8 +- 1.7,64.0 +- 1.6,74.9 +- 1.9,61.1 +- 2.0,88.2 +- 1.3
LSTM_50_HRV_1,72.9 +- 1.5,83.4 +- 1.2,81.2 +- 1.4,88.2 +- 1.3,61.1 +- 2.0
LSTM_100_HRV_0,50.5 +- 1.8,65.3 +- 1.7,76.3 +- 2.0,62.2 +- 2.1,88.9 +- 1.3
LSTM_100_HRV_1,74.0 +- 1.5,84.1 +- 1.1,81.8 +- 1.4,88.9 +- 1.3,62.2 +- 2.1
SGD_hinge_0,16.0 +- 1.4,25.7 +- 1.8,85.6 +- 2.1,18.6 +- 1.9,96.5 +- 1.0
SGD_hinge_1,68.0 +- 1.4,80.1 +- 1.1,70.1 +- 1.4,96.5 +- 1.0,18.6 +- 1.9
SGD_log_0,26.2 +- 1.6,39.3 +- 2.0,75.7 +- 2.4,34.7 +- 2.6,89.1 +- 2.0
SGD_log_1,66.0 +- 1.7,78.1 +- 1.5,73.0 +- 1.5,89.1 +- 2.0,34.7 +- 2.6
SGD_perceptron_0,27.9 +- 1.2,42.3 +- 1.5,38.3 +- 1.9,59.7 +- 2.1,44.2 +- 2.8
SGD_perceptron_1,35.4 +- 2.1,49.1 +- 2.3,65.8 +- 1.7,44.2 +- 2.8,59.7 +- 2.1
Random_forest_300_0,29.0 +- 1.4,43.3 +- 1.7,69.4 +- 2.2,39.2 +- 2.3,86.7 +- 1.9
Random_forest_300_1,65.2 +- 1.7,77.6 +- 1.5,73.6 +- 1.4,86.7 +- 1.9,39.2 +- 2.3
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
