,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,54.2 +- 1.1,69.7 +- 1.0,54.2 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_ENMO_HRV_0,56.7 +- 1.7,70.9 +- 1.5,83.4 +- 1.6,65.1 +- 1.9,92.5 +- 1.0
CNN_20_ENMO_HRV_1,65.4 +- 1.3,78.3 +- 1.1,74.8 +- 1.3,84.8 +- 1.4,66.1 +- 1.7
CNN_20_ENMO_HRV_2,31.5 +- 2.0,44.7 +- 2.4,52.3 +- 2.7,48.2 +- 3.0,93.1 +- 0.8
CNN_50_ENMO_HRV_0,61.9 +- 1.7,75.1 +- 1.4,82.2 +- 1.7,72.8 +- 1.9,90.7 +- 1.3
CNN_50_ENMO_HRV_1,66.2 +- 1.5,78.6 +- 1.3,79.5 +- 1.3,81.0 +- 1.7,74.7 +- 1.6
CNN_50_ENMO_HRV_2,35.7 +- 2.2,49.0 +- 2.5,53.4 +- 2.7,56.7 +- 3.3,91.8 +- 0.9
CNN_100_ENMO_HRV_0,60.6 +- 1.8,73.9 +- 1.5,84.5 +- 1.6,69.4 +- 2.0,92.3 +- 1.2
CNN_100_ENMO_HRV_1,67.7 +- 1.4,79.9 +- 1.1,77.8 +- 1.3,84.7 +- 1.4,71.2 +- 1.6
CNN_100_ENMO_HRV_2,36.9 +- 2.2,50.4 +- 2.5,54.3 +- 2.7,55.1 +- 3.1,93.3 +- 0.7
LSTM_20_ENMO_HRV_0,58.9 +- 1.6,72.9 +- 1.3,77.2 +- 1.7,72.5 +- 1.7,88.4 +- 1.1
LSTM_20_ENMO_HRV_1,66.5 +- 1.2,79.3 +- 1.0,77.5 +- 1.2,83.3 +- 1.3,71.1 +- 1.4
LSTM_20_ENMO_HRV_2,33.1 +- 2.1,46.3 +- 2.5,57.2 +- 2.8,45.8 +- 2.8,95.2 +- 0.5
LSTM_50_ENMO_HRV_0,60.7 +- 1.6,74.3 +- 1.4,79.0 +- 1.7,73.5 +- 1.7,89.1 +- 1.2
LSTM_50_ENMO_HRV_1,67.7 +- 1.3,80.0 +- 1.1,78.4 +- 1.2,83.8 +- 1.4,72.4 +- 1.4
LSTM_50_ENMO_HRV_2,36.3 +- 2.2,49.5 +- 2.6,59.1 +- 2.9,49.1 +- 2.9,95.3 +- 0.5
LSTM_100_ENMO_HRV_0,60.9 +- 1.7,74.4 +- 1.4,77.0 +- 1.7,75.2 +- 1.6,87.5 +- 1.3
LSTM_100_ENMO_HRV_1,67.3 +- 1.3,79.7 +- 1.1,77.8 +- 1.1,83.8 +- 1.4,71.1 +- 1.5
LSTM_100_ENMO_HRV_2,32.6 +- 2.2,45.2 +- 2.7,60.8 +- 3.2,41.3 +- 2.8,96.7 +- 0.4
SGD_hinge_0,54.5 +- 1.9,68.7 +- 1.7,80.6 +- 1.9,63.8 +- 2.1,91.0 +- 1.2
SGD_hinge_1,62.1 +- 1.2,75.9 +- 1.0,66.9 +- 1.1,90.0 +- 1.3,46.5 +- 1.8
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,55.8 +- 1.8,70.0 +- 1.6,78.2 +- 1.9,68.1 +- 2.1,88.7 +- 1.4
SGD_log_1,61.8 +- 1.3,75.6 +- 1.1,68.1 +- 1.1,87.8 +- 1.5,50.3 +- 1.8
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,47.6 +- 1.6,62.8 +- 1.6,77.1 +- 1.9,56.8 +- 1.9,90.5 +- 1.1
