,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,16.4 +- 0.5,11.3 +- 0.5,33.5 +- 0.2,66.5 +- 0.2
always_1,54.2 +- 1.1,0.0 +- 0.0,23.3 +- 0.3,18.2 +- 0.4,33.5 +- 0.2,66.5 +- 0.2
always_2,12.3 +- 0.5,0.0 +- 0.0,7.2 +- 0.3,4.1 +- 0.2,33.0 +- 0.4,66.7 +- 0.0
CNN_20_ENMO,69.5 +- 0.9,44.8 +- 1.8,47.8 +- 0.8,48.9 +- 0.8,50.8 +- 0.7,78.6 +- 0.6
CNN_50_ENMO,70.6 +- 1.0,47.0 +- 1.8,48.7 +- 0.8,49.6 +- 0.8,51.7 +- 0.8,79.3 +- 0.6
CNN_100_ENMO,71.0 +- 1.0,48.0 +- 1.8,49.1 +- 0.8,50.1 +- 0.8,52.1 +- 0.8,79.5 +- 0.6
LSTM_20_ENMO,69.7 +- 0.9,46.0 +- 1.7,48.3 +- 0.8,48.2 +- 0.8,51.5 +- 0.7,79.0 +- 0.6
LSTM_50_ENMO,70.9 +- 0.9,48.3 +- 1.7,49.2 +- 0.8,49.0 +- 0.8,52.4 +- 0.7,79.7 +- 0.6
LSTM_100_ENMO,71.4 +- 0.9,49.7 +- 1.7,49.8 +- 0.8,51.7 +- 1.1,52.9 +- 0.7,80.1 +- 0.6
SGD_hinge,69.6 +- 1.0,45.1 +- 1.8,47.7 +- 0.8,49.5 +- 0.8,50.6 +- 0.8,78.5 +- 0.6
SGD_log,69.9 +- 1.0,46.2 +- 1.8,48.2 +- 0.8,48.7 +- 0.8,51.3 +- 0.8,79.0 +- 0.6
SGD_perceptron,56.7 +- 1.1,26.3 +- 1.7,47.2 +- 1.0,54.8 +- 0.9,48.2 +- 0.9,76.7 +- 0.5
Random_forest_300,68.6 +- 0.9,44.3 +- 1.7,48.5 +- 0.8,53.4 +- 1.1,51.0 +- 0.7,78.8 +- 0.5
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
