,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,16.4 +- 0.5,11.3 +- 0.5,33.5 +- 0.2,66.5 +- 0.2
always_1,54.2 +- 1.1,0.0 +- 0.0,23.3 +- 0.3,18.2 +- 0.4,33.5 +- 0.2,66.5 +- 0.2
always_2,12.3 +- 0.5,0.0 +- 0.0,7.2 +- 0.3,4.1 +- 0.2,33.0 +- 0.4,66.7 +- 0.0
CNN_20_ENMO_HRV,73.5 +- 1.0,54.4 +- 1.8,64.7 +- 1.2,70.1 +- 1.2,66.0 +- 1.2,83.9 +- 0.5
CNN_50_ENMO_HRV,75.2 +- 1.1,58.4 +- 1.9,67.6 +- 1.3,71.7 +- 1.3,70.2 +- 1.3,85.7 +- 0.6
CNN_100_ENMO_HRV,76.0 +- 1.0,58.6 +- 1.9,68.1 +- 1.3,72.2 +- 1.2,69.7 +- 1.3,85.6 +- 0.6
LSTM_20_ENMO_HRV,75.0 +- 0.9,55.6 +- 1.8,66.2 +- 1.2,70.7 +- 1.2,67.2 +- 1.1,84.9 +- 0.5
LSTM_50_ENMO_HRV,76.2 +- 1.0,58.4 +- 1.8,67.9 +- 1.3,72.2 +- 1.3,68.8 +- 1.2,85.6 +- 0.5
LSTM_100_ENMO_HRV,76.1 +- 0.9,57.4 +- 1.9,66.4 +- 1.3,71.9 +- 1.4,66.8 +- 1.2,85.1 +- 0.5
SGD_hinge,70.2 +- 1.0,46.7 +- 1.8,48.5 +- 0.8,49.5 +- 0.8,51.5 +- 0.8,79.1 +- 0.6
SGD_log,70.3 +- 1.0,46.9 +- 1.7,48.8 +- 0.8,49.0 +- 0.8,52.2 +- 0.7,79.5 +- 0.6
SGD_perceptron,65.8 +- 0.9,31.2 +- 1.6,46.6 +- 0.7,49.8 +- 0.6,48.2 +- 0.7,77.9 +- 0.5
Random_forest_300,70.5 +- 0.9,47.6 +- 1.7,50.3 +- 0.8,59.2 +- 1.5,53.0 +- 0.7,79.9 +- 0.5
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
