,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,54.2 +- 1.1,69.7 +- 1.0,54.2 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_ENMO_0,52.6 +- 1.8,67.1 +- 1.7,79.4 +- 1.9,61.7 +- 2.0,90.8 +- 1.2
CNN_20_ENMO_1,61.6 +- 1.2,75.6 +- 1.0,66.4 +- 1.1,89.9 +- 1.3,45.4 +- 1.7
CNN_20_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_0,55.2 +- 1.9,69.2 +- 1.8,80.7 +- 1.9,64.3 +- 2.1,90.9 +- 1.2
CNN_50_ENMO_1,62.4 +- 1.2,76.2 +- 1.0,67.4 +- 1.1,89.9 +- 1.3,47.2 +- 1.8
CNN_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_100_ENMO_0,56.1 +- 1.9,70.0 +- 1.8,81.4 +- 1.9,65.1 +- 2.1,91.2 +- 1.2
CNN_100_ENMO_1,62.8 +- 1.2,76.5 +- 1.0,67.7 +- 1.1,90.2 +- 1.4,47.7 +- 1.8
CNN_100_ENMO_2,0.0 +- 0.0,0.1 +- 0.1,0.4 +- 0.6,0.0 +- 0.0,100.0 +- 0.0
LSTM_20_ENMO_0,54.4 +- 1.8,68.8 +- 1.6,76.3 +- 1.9,66.2 +- 1.9,88.5 +- 1.2
LSTM_20_ENMO_1,61.2 +- 1.2,75.3 +- 1.0,67.3 +- 1.1,87.4 +- 1.3,49.0 +- 1.7
LSTM_20_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_0,57.0 +- 1.8,70.9 +- 1.6,78.0 +- 1.9,68.7 +- 2.0,89.0 +- 1.3
LSTM_50_ENMO_1,62.1 +- 1.2,76.0 +- 1.0,68.3 +- 1.1,87.8 +- 1.4,50.5 +- 1.7
LSTM_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_100_ENMO_0,58.4 +- 1.8,72.1 +- 1.6,78.8 +- 1.9,70.1 +- 1.9,89.0 +- 1.3
LSTM_100_ENMO_1,62.4 +- 1.3,76.1 +- 1.1,68.7 +- 1.0,87.6 +- 1.5,51.7 +- 1.8
LSTM_100_ENMO_2,0.3 +- 0.2,0.5 +- 0.3,6.9 +- 2.5,0.3 +- 0.2,99.9 +- 0.0
SGD_hinge_0,52.0 +- 1.9,66.4 +- 1.8,81.7 +- 2.0,59.5 +- 2.1,92.3 +- 1.1
SGD_hinge_1,62.0 +- 1.2,75.9 +- 1.0,66.0 +- 1.1,91.3 +- 1.2,43.4 +- 1.8
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,54.1 +- 1.9,68.3 +- 1.8,78.4 +- 2.0,64.4 +- 2.1,89.9 +- 1.2
SGD_log_1,61.6 +- 1.2,75.5 +- 1.0,67.0 +- 1.1,88.7 +- 1.3,47.3 +- 1.8
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,44.6 +- 1.8,59.6 +- 1.9,84.4 +- 1.9,48.9 +- 2.0,95.2 +- 0.7
SGD_perceptron_1,50.5 +- 1.4,65.9 +- 1.4,66.9 +- 1.2,68.1 +- 1.9,60.1 +- 1.6
SGD_perceptron_2,9.2 +- 0.7,16.3 +- 1.1,13.1 +- 1.0,27.8 +- 2.1,74.7 +- 1.2
Random_forest_300_0,53.1 +- 1.7,67.7 +- 1.6,73.8 +- 1.9,65.9 +- 2.0,87.6 +- 1.2
Random_forest_300_1,59.9 +- 1.2,74.3 +- 1.0,67.2 +- 1.1,85.0 +- 1.3,50.0 +- 1.7
Random_forest_300_2,1.9 +- 0.3,3.6 +- 0.5,19.2 +- 2.5,2.1 +- 0.3,98.8 +- 0.1
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_2,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,100.0 +- 0.0
