,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,54.2 +- 1.1,69.7 +- 1.0,54.2 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_HRV_0,44.7 +- 1.5,60.4 +- 1.5,70.5 +- 1.9,59.4 +- 2.1,84.9 +- 1.6
CNN_20_HRV_1,61.4 +- 1.5,75.0 +- 1.3,72.4 +- 1.5,81.5 +- 1.8,63.4 +- 1.9
CNN_20_HRV_2,24.0 +- 1.8,35.6 +- 2.4,47.5 +- 3.0,36.0 +- 2.8,94.2 +- 0.7
CNN_50_HRV_0,48.3 +- 1.6,63.6 +- 1.6,75.7 +- 1.8,60.7 +- 2.1,88.3 +- 1.4
CNN_50_HRV_1,63.9 +- 1.5,76.9 +- 1.3,73.8 +- 1.5,83.8 +- 1.6,64.6 +- 1.9
CNN_50_HRV_2,27.7 +- 2.1,39.5 +- 2.6,50.3 +- 3.1,41.9 +- 3.2,93.7 +- 0.8
CNN_100_HRV_0,51.8 +- 1.6,66.9 +- 1.5,72.9 +- 1.9,67.8 +- 2.0,85.2 +- 1.6
CNN_100_HRV_1,63.5 +- 1.6,76.5 +- 1.3,77.3 +- 1.5,79.0 +- 1.7,72.8 +- 1.7
CNN_100_HRV_2,31.7 +- 2.1,44.6 +- 2.5,48.5 +- 2.7,49.4 +- 3.2,92.7 +- 0.7
LSTM_20_HRV_0,47.7 +- 1.4,63.4 +- 1.4,69.1 +- 1.8,63.6 +- 1.8,84.6 +- 1.4
LSTM_20_HRV_1,64.4 +- 1.4,77.5 +- 1.2,74.6 +- 1.4,83.2 +- 1.4,66.8 +- 1.6
LSTM_20_HRV_2,25.9 +- 1.9,37.9 +- 2.4,52.1 +- 2.9,35.8 +- 2.6,95.5 +- 0.5
LSTM_50_HRV_0,51.4 +- 1.7,66.4 +- 1.5,72.3 +- 1.9,66.0 +- 1.9,86.5 +- 1.3
LSTM_50_HRV_1,66.7 +- 1.4,79.2 +- 1.2,76.8 +- 1.4,84.6 +- 1.4,69.2 +- 1.8
LSTM_50_HRV_2,31.1 +- 2.3,43.2 +- 2.7,54.8 +- 3.1,41.8 +- 3.0,95.6 +- 0.6
LSTM_100_HRV_0,53.8 +- 1.7,68.4 +- 1.5,77.9 +- 1.8,65.8 +- 1.9,88.9 +- 1.4
LSTM_100_HRV_1,67.1 +- 1.5,79.3 +- 1.3,76.3 +- 1.4,85.1 +- 1.6,69.3 +- 1.6
LSTM_100_HRV_2,34.2 +- 2.3,46.8 +- 2.7,55.1 +- 3.0,47.4 +- 3.0,94.7 +- 0.6
SGD_hinge_0,24.2 +- 1.6,36.9 +- 1.9,76.5 +- 2.3,31.4 +- 2.5,90.6 +- 1.8
SGD_hinge_1,55.3 +- 1.4,70.2 +- 1.3,59.4 +- 1.3,91.2 +- 1.8,25.3 +- 2.2
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,29.7 +- 1.6,43.7 +- 1.9,70.5 +- 2.5,42.1 +- 2.7,84.0 +- 2.3
SGD_log_1,54.2 +- 1.5,69.0 +- 1.5,61.6 +- 1.4,85.4 +- 2.3,35.8 +- 2.5
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,19.6 +- 0.9,32.0 +- 1.2,57.6 +- 2.1,25.9 +- 1.4,88.4 +- 1.1
SGD_perceptron_1,35.3 +- 2.1,48.8 +- 2.5,56.5 +- 1.7,51.2 +- 3.2,58.8 +- 2.5
SGD_perceptron_2,6.6 +- 0.6,11.8 +- 1.0,8.5 +- 0.7,30.9 +- 3.1,61.5 +- 2.9
Random_forest_300_0,32.6 +- 1.4,47.7 +- 1.6,61.7 +- 2.2,48.4 +- 2.4,79.4 +- 2.3
Random_forest_300_1,53.1 +- 1.5,68.1 +- 1.5,62.7 +- 1.3,80.7 +- 2.2,42.4 +- 2.3
Random_forest_300_2,1.0 +- 0.2,1.8 +- 0.4,20.8 +- 3.5,1.0 +- 0.2,99.7 +- 0.1
stages_0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
stages_2,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,100.0 +- 0.0
