,accuracy,f1-score,precision,recall,specificity
SGD_log_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,2.9 +- 0.4,5.5 +- 0.6,44.5 +- 3.8,3.3 +- 0.4,98.8 +- 0.2
SGD_perceptron_1,5.1 +- 0.8,9.0 +- 1.1,8.6 +- 1.0,18.5 +- 2.5,82.4 +- 2.3
SGD_perceptron_2,17.2 +- 1.9,25.4 +- 2.6,45.4 +- 2.7,25.8 +- 3.2,79.3 +- 2.7
SGD_perceptron_3,9.0 +- 1.0,15.3 +- 1.5,11.0 +- 1.2,51.9 +- 3.9,58.6 +- 2.8
SGD_perceptron_4,8.1 +- 0.7,14.3 +- 1.1,17.7 +- 1.5,17.1 +- 1.6,85.3 +- 1.3
Random_forest_300_0,23.5 +- 1.1,36.8 +- 1.4,33.1 +- 1.9,60.2 +- 2.4,66.0 +- 2.6
Random_forest_300_1,1.7 +- 0.6,2.9 +- 0.7,19.2 +- 2.8,1.9 +- 0.6,99.2 +- 0.6
Random_forest_300_2,40.2 +- 1.5,55.6 +- 1.7,52.9 +- 1.4,67.3 +- 2.7,47.6 +- 2.4
Random_forest_300_3,0.1 +- 0.1,0.2 +- 0.1,5.1 +- 2.0,0.1 +- 0.1,99.9 +- 0.0
Random_forest_300_4,2.0 +- 0.3,3.7 +- 0.6,28.8 +- 3.2,2.4 +- 0.4,99.0 +- 0.2
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,98.9 +- 1.1,98.9 +- 1.1,98.9 +- 1.1,99.7 +- 0.6
stages_2,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_3,100.0 +- 0.0,94.0 +- 2.5,94.0 +- 2.5,94.0 +- 2.5,100.0 +- 0.0
stages_4,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
