,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,6.6 +- 0.6,4.2 +- 0.6,20.8 +- 0.6,79.2 +- 0.6
always_1,11.1 +- 0.8,0.0 +- 0.0,4.1 +- 0.6,2.5 +- 0.6,20.2 +- 0.5,79.4 +- 0.5
always_2,46.6 +- 1.2,0.0 +- 0.0,13.2 +- 0.6,9.9 +- 0.6,20.8 +- 0.6,79.2 +- 0.6
always_3,9.0 +- 0.9,0.0 +- 0.0,3.3 +- 0.6,2.0 +- 0.6,19.1 +- 0.7,79.6 +- 0.5
always_4,15.1 +- 0.8,0.0 +- 0.0,5.4 +- 0.6,3.3 +- 0.6,20.2 +- 0.5,79.4 +- 0.5
CNN_20_ENMO_HRV,57.4 +- 1.2,42.6 +- 1.8,36.3 +- 0.9,42.4 +- 1.2,40.6 +- 0.8,86.1 +- 0.6
CNN_50_ENMO_HRV,58.8 +- 1.2,44.7 +- 2.0,37.8 +- 1.0,46.6 +- 1.4,41.5 +- 0.9,86.4 +- 0.6
CNN_100_ENMO_HRV,59.2 +- 1.2,45.1 +- 1.9,39.1 +- 1.0,49.7 +- 1.4,42.0 +- 1.0,86.5 +- 0.6
LSTM_20_ENMO_HRV,57.9 +- 1.1,43.6 +- 1.9,36.2 +- 0.8,40.6 +- 1.2,41.1 +- 0.8,86.3 +- 0.6
LSTM_50_ENMO_HRV,58.3 +- 1.1,44.0 +- 2.0,36.5 +- 0.9,43.7 +- 1.5,40.6 +- 0.9,86.2 +- 0.6
LSTM_100_ENMO_HRV,58.4 +- 1.1,43.5 +- 2.0,36.7 +- 1.0,44.3 +- 1.4,39.9 +- 0.9,85.9 +- 0.6
SGD_hinge,49.9 +- 1.3,29.7 +- 1.7,23.9 +- 0.7,27.9 +- 1.0,30.1 +- 0.6,82.9 +- 0.5
SGD_log,51.1 +- 1.2,30.9 +- 1.7,23.8 +- 0.7,25.8 +- 1.1,30.3 +- 0.7,82.7 +- 0.6
SGD_perceptron,38.7 +- 1.1,0.6 +- 1.2,21.5 +- 0.7,29.7 +- 0.8,23.7 +- 0.6,81.5 +- 0.5
Random_forest_300,51.3 +- 1.2,32.0 +- 1.7,25.5 +- 0.7,33.2 +- 1.2,31.1 +- 0.6,83.2 +- 0.5
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
