,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,9.0 +- 0.6,16.0 +- 0.9,9.0 +- 0.6,98.9 +- 1.1,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,38.0 +- 1.0,54.4 +- 1.1,38.0 +- 1.0,100.0 +- 0.0,0.0 +- 0.0
always_2_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_3,7.2 +- 0.7,12.9 +- 1.1,7.2 +- 0.7,94.3 +- 2.4,0.0 +- 0.0
always_3_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_4,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_ENMO_HRV_0,58.9 +- 1.6,72.9 +- 1.4,78.4 +- 1.6,71.9 +- 1.8,88.9 +- 1.2
CNN_20_ENMO_HRV_1,3.9 +- 0.5,7.2 +- 0.8,32.5 +- 2.9,4.6 +- 0.6,99.2 +- 0.1
CNN_20_ENMO_HRV_2,49.0 +- 1.4,64.6 +- 1.4,57.3 +- 1.5,78.3 +- 1.8,64.0 +- 1.5
CNN_20_ENMO_HRV_3,0.1 +- 0.1,0.3 +- 0.1,4.8 +- 2.1,0.1 +- 0.1,100.0 +- 0.0
CNN_20_ENMO_HRV_4,33.4 +- 1.9,47.3 +- 2.2,48.4 +- 2.4,56.7 +- 3.0,90.2 +- 1.0
CNN_50_ENMO_HRV_0,61.8 +- 1.7,75.0 +- 1.4,82.1 +- 1.6,72.8 +- 1.9,90.7 +- 1.2
CNN_50_ENMO_HRV_1,4.6 +- 0.6,8.3 +- 0.9,32.9 +- 2.9,5.5 +- 0.7,99.0 +- 0.2
CNN_50_ENMO_HRV_2,50.3 +- 1.5,65.7 +- 1.4,57.9 +- 1.5,80.5 +- 1.9,63.6 +- 1.6
CNN_50_ENMO_HRV_3,1.5 +- 0.5,2.5 +- 0.8,17.2 +- 3.7,1.7 +- 0.6,99.9 +- 0.0
CNN_50_ENMO_HRV_4,36.1 +- 2.1,49.6 +- 2.5,51.6 +- 2.7,58.4 +- 3.2,91.2 +- 0.9
CNN_100_ENMO_HRV_0,61.1 +- 1.8,74.4 +- 1.5,83.0 +- 1.6,71.2 +- 2.0,91.4 +- 1.1
