,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,9.0 +- 0.6,16.0 +- 0.9,9.0 +- 0.6,98.9 +- 1.1,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,38.0 +- 1.0,54.4 +- 1.1,38.0 +- 1.0,100.0 +- 0.0,0.0 +- 0.0
always_2_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_3,7.2 +- 0.7,12.9 +- 1.1,7.2 +- 0.7,94.3 +- 2.4,0.0 +- 0.0
always_3_4,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_4_4,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_HRV_0,45.3 +- 1.5,61.1 +- 1.5,68.7 +- 1.9,61.9 +- 2.0,82.9 +- 1.7
CNN_20_HRV_1,3.3 +- 0.5,6.0 +- 0.8,29.4 +- 3.1,3.8 +- 0.6,99.4 +- 0.1
CNN_20_HRV_2,46.1 +- 1.4,61.8 +- 1.5,53.4 +- 1.5,78.7 +- 2.0,57.9 +- 1.7
CNN_20_HRV_3,0.1 +- 0.1,0.2 +- 0.1,3.5 +- 1.8,0.1 +- 0.1,100.0 +- 0.0
CNN_20_HRV_4,24.8 +- 1.8,36.8 +- 2.3,44.6 +- 2.7,40.0 +- 3.0,92.6 +- 0.8
CNN_50_HRV_0,46.1 +- 1.5,61.8 +- 1.4,61.2 +- 2.0,70.9 +- 1.9,73.6 +- 2.2
CNN_50_HRV_1,4.6 +- 0.6,8.2 +- 1.0,27.9 +- 2.8,5.8 +- 0.9,98.8 +- 0.2
CNN_50_HRV_2,43.8 +- 1.5,59.4 +- 1.6,55.2 +- 1.6,71.8 +- 2.3,63.3 +- 1.8
CNN_50_HRV_3,2.5 +- 0.6,4.3 +- 0.9,20.2 +- 3.7,3.1 +- 0.9,99.7 +- 0.1
CNN_50_HRV_4,16.6 +- 1.6,25.6 +- 2.3,39.8 +- 3.1,24.9 +- 2.6,95.4 +- 0.6
CNN_100_HRV_0,47.5 +- 1.4,63.3 +- 1.3,67.2 +- 2.0,66.8 +- 1.9,80.6 +- 1.9
CNN_100_HRV_1,4.8 +- 0.6,8.7 +- 1.0,30.5 +- 2.7,6.0 +- 0.8,98.8 +- 0.2
