,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,10.1 +- 0.4,7.0 +- 0.4,20.6 +- 0.4,79.4 +- 0.4
always_1,9.0 +- 0.6,0.0 +- 0.0,3.3 +- 0.2,1.8 +- 0.1,20.0 +- 0.3,79.6 +- 0.2
always_2,38.0 +- 1.0,0.0 +- 0.0,11.2 +- 0.3,7.9 +- 0.3,20.6 +- 0.4,79.4 +- 0.4
always_3,7.2 +- 0.7,0.0 +- 0.0,2.6 +- 0.2,1.4 +- 0.1,18.9 +- 0.5,79.8 +- 0.1
always_4,12.3 +- 0.5,0.0 +- 0.0,4.3 +- 0.2,2.5 +- 0.1,20.0 +- 0.3,79.6 +- 0.2
CNN_20_ENMO_HRV,61.3 +- 1.1,53.0 +- 1.8,38.8 +- 0.8,44.7 +- 1.1,42.8 +- 0.7,88.3 +- 0.3
CNN_50_ENMO_HRV,62.9 +- 1.1,56.0 +- 1.9,40.6 +- 0.9,48.7 +- 1.3,44.2 +- 0.8,88.8 +- 0.3
CNN_100_ENMO_HRV,63.1 +- 1.1,56.2 +- 1.8,41.9 +- 0.9,51.5 +- 1.4,44.7 +- 0.9,88.8 +- 0.3
LSTM_20_ENMO_HRV,62.6 +- 1.0,54.2 +- 1.7,39.2 +- 0.7,43.6 +- 1.1,43.1 +- 0.7,88.5 +- 0.3
LSTM_50_ENMO_HRV,63.7 +- 1.0,56.3 +- 1.8,39.9 +- 0.8,47.1 +- 1.4,43.0 +- 0.8,88.7 +- 0.3
LSTM_100_ENMO_HRV,63.6 +- 1.0,57.0 +- 1.8,40.5 +- 0.9,47.8 +- 1.3,43.3 +- 0.8,88.7 +- 0.3
SGD_hinge,56.1 +- 1.1,44.2 +- 1.7,27.3 +- 0.5,31.4 +- 0.9,32.1 +- 0.5,85.9 +- 0.3
SGD_log,56.7 +- 1.1,45.6 +- 1.7,27.1 +- 0.6,29.2 +- 0.9,32.4 +- 0.5,85.8 +- 0.4
SGD_perceptron,37.6 +- 0.9,6.8 +- 1.4,23.5 +- 0.5,32.0 +- 0.5,25.7 +- 0.5,83.3 +- 0.2
Random_forest_300,56.9 +- 1.0,46.3 +- 1.6,28.8 +- 0.5,36.4 +- 1.2,33.1 +- 0.5,86.2 +- 0.3
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
