,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,33.5 +- 1.4,0.0 +- 0.0,10.1 +- 0.4,7.0 +- 0.4,20.6 +- 0.4,79.4 +- 0.4
always_1,9.0 +- 0.6,0.0 +- 0.0,3.3 +- 0.2,1.8 +- 0.1,20.0 +- 0.3,79.6 +- 0.2
always_2,38.0 +- 1.0,0.0 +- 0.0,11.2 +- 0.3,7.9 +- 0.3,20.6 +- 0.4,79.4 +- 0.4
always_3,7.2 +- 0.7,0.0 +- 0.0,2.6 +- 0.2,1.4 +- 0.1,18.9 +- 0.5,79.8 +- 0.1
always_4,12.3 +- 0.5,0.0 +- 0.0,4.3 +- 0.2,2.5 +- 0.1,20.0 +- 0.3,79.6 +- 0.2
CNN_20_ENMO,55.9 +- 1.0,44.8 +- 1.7,26.5 +- 0.6,25.5 +- 0.7,31.5 +- 0.5,85.5 +- 0.3
CNN_50_ENMO,56.5 +- 1.1,46.0 +- 1.7,26.7 +- 0.6,25.4 +- 0.7,32.0 +- 0.5,85.7 +- 0.3
CNN_100_ENMO,56.8 +- 1.1,46.9 +- 1.7,27.2 +- 0.6,27.7 +- 0.9,32.2 +- 0.5,85.8 +- 0.3
LSTM_20_ENMO,56.0 +- 1.0,45.1 +- 1.7,26.6 +- 0.7,25.2 +- 0.7,31.7 +- 0.6,85.5 +- 0.4
LSTM_50_ENMO,56.9 +- 1.0,46.9 +- 1.7,27.1 +- 0.7,26.1 +- 0.8,32.2 +- 0.6,85.7 +- 0.4
LSTM_100_ENMO,56.9 +- 1.0,47.1 +- 1.7,27.1 +- 0.7,25.3 +- 0.7,32.3 +- 0.6,85.7 +- 0.4
SGD_hinge,54.8 +- 1.1,43.8 +- 1.7,26.8 +- 0.5,31.3 +- 0.7,31.1 +- 0.5,85.6 +- 0.3
SGD_log,56.1 +- 1.1,45.9 +- 1.7,26.7 +- 0.7,25.2 +- 0.7,31.8 +- 0.6,85.5 +- 0.4
SGD_perceptron,32.9 +- 0.9,21.8 +- 1.4,23.2 +- 0.6,31.0 +- 0.5,29.1 +- 0.7,82.9 +- 0.2
Random_forest_300,54.4 +- 1.0,42.7 +- 1.6,27.2 +- 0.5,31.7 +- 0.8,31.1 +- 0.4,85.6 +- 0.3
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0
