,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,10.5 +- 0.7,6.7 +- 0.7,33.7 +- 0.4,66.3 +- 0.4
always_1,66.1 +- 1.1,0.0 +- 0.0,26.7 +- 0.5,22.4 +- 0.6,33.7 +- 0.4,66.3 +- 0.4
always_2,15.1 +- 0.8,0.0 +- 0.0,8.7 +- 0.6,5.2 +- 0.6,33.1 +- 0.5,66.5 +- 0.4
CNN_20_HRV,69.1 +- 1.3,28.9 +- 1.9,54.3 +- 1.3,60.9 +- 1.4,57.3 +- 1.2,79.4 +- 0.8
CNN_50_HRV,71.1 +- 1.2,33.2 +- 2.1,56.6 +- 1.4,63.6 +- 1.5,59.3 +- 1.3,80.3 +- 0.8
CNN_100_HRV,70.3 +- 1.3,36.0 +- 2.1,58.4 +- 1.5,62.3 +- 1.4,62.0 +- 1.4,81.5 +- 0.8
LSTM_20_HRV,70.8 +- 1.1,29.5 +- 2.0,55.9 +- 1.3,62.0 +- 1.4,58.5 +- 1.1,80.6 +- 0.7
LSTM_50_HRV,72.4 +- 1.2,32.9 +- 2.3,57.6 +- 1.4,63.0 +- 1.5,59.4 +- 1.3,81.1 +- 0.8
LSTM_100_HRV,72.9 +- 1.3,37.2 +- 2.4,58.7 +- 1.5,64.7 +- 1.5,60.1 +- 1.3,81.0 +- 0.8
SGD_hinge,65.2 +- 1.3,11.7 +- 1.2,36.1 +- 0.9,44.0 +- 1.1,40.7 +- 0.7,70.0 +- 0.6
SGD_log,63.3 +- 1.4,11.8 +- 1.3,36.7 +- 0.9,42.6 +- 1.1,42.3 +- 0.8,71.2 +- 0.6
SGD_perceptron,43.5 +- 1.8,3.8 +- 1.0,31.9 +- 0.9,39.9 +- 1.0,37.5 +- 0.8,68.3 +- 0.5
Random_forest_300,61.7 +- 1.3,11.3 +- 1.1,37.2 +- 0.8,45.7 +- 1.4,42.8 +- 0.7,71.7 +- 0.5
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
