,accuracy,cohen-kappa,f1-score,precision,recall,specificity
always_0,19.3 +- 1.3,0.0 +- 0.0,10.5 +- 0.7,6.7 +- 0.7,33.7 +- 0.4,66.3 +- 0.4
always_1,66.1 +- 1.1,0.0 +- 0.0,26.7 +- 0.5,22.4 +- 0.6,33.7 +- 0.4,66.3 +- 0.4
always_2,15.1 +- 0.8,0.0 +- 0.0,8.7 +- 0.6,5.2 +- 0.6,33.1 +- 0.5,66.5 +- 0.4
CNN_20_ENMO,68.2 +- 1.0,24.5 +- 1.8,40.7 +- 0.9,42.4 +- 1.0,44.0 +- 0.9,71.6 +- 0.7
CNN_50_ENMO,68.4 +- 1.0,24.5 +- 2.0,40.4 +- 1.0,42.2 +- 1.1,43.8 +- 0.9,71.6 +- 0.7
CNN_100_ENMO,68.4 +- 1.0,24.1 +- 2.0,40.1 +- 1.0,42.5 +- 1.1,43.5 +- 0.9,71.4 +- 0.7
LSTM_20_ENMO,67.7 +- 1.0,26.5 +- 1.8,41.4 +- 0.9,41.6 +- 1.0,45.2 +- 0.9,72.1 +- 0.7
LSTM_50_ENMO,68.1 +- 1.0,26.6 +- 1.9,41.3 +- 0.9,41.8 +- 1.0,45.0 +- 0.9,72.1 +- 0.7
LSTM_100_ENMO,68.1 +- 1.0,26.8 +- 2.0,41.4 +- 1.0,44.2 +- 1.3,45.0 +- 0.9,72.1 +- 0.7
SGD_hinge,68.7 +- 1.0,25.1 +- 1.8,40.8 +- 0.9,43.3 +- 1.1,43.9 +- 0.9,71.5 +- 0.7
SGD_log,68.2 +- 1.0,26.8 +- 1.8,41.5 +- 0.9,42.4 +- 1.0,45.1 +- 0.9,72.0 +- 0.7
SGD_perceptron,55.2 +- 1.3,11.6 +- 1.5,40.5 +- 1.0,49.4 +- 1.1,41.6 +- 1.0,70.9 +- 0.7
Random_forest_300,66.5 +- 0.9,25.7 +- 1.7,41.8 +- 0.8,46.8 +- 1.2,45.0 +- 0.8,72.1 +- 0.7
stages,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
