,accuracy,f1-score,precision,recall,specificity
always_0_0,19.1 +- 1.2,30.5 +- 1.6,19.1 +- 1.2,99.7 +- 0.6,0.3 +- 0.6
always_0_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,66.1 +- 1.1,79.1 +- 0.8,66.1 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,0.3 +- 0.6,99.7 +- 0.6
always_2_2,14.9 +- 0.6,25.4 +- 0.9,14.8 +- 0.6,98.6 +- 1.2,0.3 +- 0.6
CNN_20_HRV_0,31.4 +- 1.3,46.3 +- 1.6,51.1 +- 2.4,53.9 +- 2.3,85.0 +- 1.6
CNN_20_HRV_1,66.9 +- 1.5,79.2 +- 1.3,79.6 +- 1.3,81.6 +- 1.8,59.9 +- 2.2
CNN_20_HRV_2,25.3 +- 1.9,36.9 +- 2.4,51.4 +- 3.1,35.9 +- 2.8,94.0 +- 0.8
CNN_50_HRV_0,33.1 +- 1.5,47.8 +- 1.8,56.2 +- 2.5,51.4 +- 2.3,88.4 +- 1.4
CNN_50_HRV_1,68.9 +- 1.4,80.7 +- 1.2,80.2 +- 1.3,83.9 +- 1.6,59.8 +- 2.3
CNN_50_HRV_2,28.8 +- 2.1,40.7 +- 2.6,53.7 +- 3.2,41.8 +- 3.2,93.3 +- 0.9
CNN_100_HRV_0,34.4 +- 1.6,49.3 +- 1.8,52.4 +- 2.4,57.1 +- 2.2,85.3 +- 1.6
CNN_100_HRV_1,67.2 +- 1.6,79.3 +- 1.3,82.4 +- 1.3,79.1 +- 1.7,67.6 +- 2.2
CNN_100_HRV_2,33.2 +- 2.2,46.0 +- 2.6,51.6 +- 2.8,49.3 +- 3.2,92.2 +- 0.8
LSTM_20_HRV_0,31.9 +- 1.4,46.8 +- 1.6,48.0 +- 2.2,55.8 +- 2.0,84.7 +- 1.4
LSTM_20_HRV_1,69.3 +- 1.3,81.1 +- 1.1,80.8 +- 1.2,83.3 +- 1.4,62.2 +- 1.8
LSTM_20_HRV_2,27.3 +- 2.0,39.3 +- 2.5,56.6 +- 3.0,35.7 +- 2.6,95.4 +- 0.5
LSTM_50_HRV_0,31.6 +- 1.6,45.8 +- 1.9,49.2 +- 2.4,51.3 +- 2.2,86.6 +- 1.3
LSTM_50_HRV_1,70.7 +- 1.3,82.1 +- 1.1,81.5 +- 1.1,84.7 +- 1.4,62.2 +- 2.1
LSTM_50_HRV_2,32.2 +- 2.3,44.2 +- 2.8,57.8 +- 3.2,41.7 +- 3.0,95.2 +- 0.6
LSTM_100_HRV_0,31.6 +- 1.7,45.6 +- 2.0,55.3 +- 2.4,47.2 +- 2.4,89.0 +- 1.4
LSTM_100_HRV_1,70.5 +- 1.5,81.8 +- 1.2,80.5 +- 1.2,85.2 +- 1.6,60.4 +- 2.0
LSTM_100_HRV_2,35.5 +- 2.4,48.0 +- 2.7,57.8 +- 3.1,47.3 +- 3.0,94.1 +- 0.7
SGD_hinge_0,18.9 +- 1.3,29.9 +- 1.8,61.4 +- 2.9,29.7 +- 2.5,90.6 +- 1.8
SGD_hinge_1,64.1 +- 1.5,77.1 +- 1.3,69.1 +- 1.2,91.2 +- 1.8,20.3 +- 2.2
SGD_hinge_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_log_0,21.8 +- 1.3,34.0 +- 1.7,55.4 +- 3.0,40.1 +- 2.8,84.0 +- 2.3
SGD_log_1,61.8 +- 1.7,75.0 +- 1.6,70.9 +- 1.3,85.4 +- 2.3,30.5 +- 2.6
SGD_log_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
SGD_perceptron_0,17.5 +- 0.8,29.0 +- 1.2,42.1 +- 2.2,29.9 +- 1.8,88.4 +- 1.1
SGD_perceptron_1,39.4 +- 2.4,52.5 +- 2.7,65.5 +- 1.7,51.3 +- 3.3,54.2 +- 2.7
SGD_perceptron_2,7.8 +- 0.7,13.8 +- 1.1,11.7 +- 1.0,30.8 +- 3.1,62.8 +- 3.1
Random_forest_300_0,22.7 +- 1.1,35.7 +- 1.5,42.4 +- 2.3,46.0 +- 2.5,79.5 +- 2.3
Random_forest_300_1,59.8 +- 1.6,73.5 +- 1.5,71.7 +- 1.1,80.8 +- 2.2,36.8 +- 2.4
Random_forest_300_2,1.0 +- 0.2,1.8 +- 0.4,22.4 +- 3.6,1.0 +- 0.2,99.7 +- 0.1
stages_0,100.0 +- 0.0,99.7 +- 0.6,99.7 +- 0.6,99.7 +- 0.6,100.0 +- 0.0
stages_1,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,100.0 +- 0.0,99.7 +- 0.6
stages_2,100.0 +- 0.0,98.6 +- 1.2,98.6 +- 1.2,98.6 +- 1.2,100.0 +- 0.0
