feature_list
_min_centered_18
_std_centered_18
_var_centered_18
_nat_centered_18
_anyact_centered_18
_skew_centered_18
_kurt_centered_18
_mean_18
_median_18
_max_18
_min_18
_std_18
_var_18
_nat_18
_anyact_18
_skew_18
_kurt_18
_mean_centered_19
_median_centered_19
_max_centered_19
_min_centered_19
_std_centered_19
_var_centered_19
_nat_centered_19
_anyact_centered_19
_skew_centered_19
_kurt_centered_19
_mean_19
_median_19
_max_19
_min_19
_std_19
_var_19
_nat_19
_anyact_19
_skew_19
_kurt_19
_LocAct
_Act
mean_nni
sdnn
sdsd
nni_50
pnni_50
nni_20
pnni_20
rmssd
median_nni
range_nni
cvsd
cvnni
mean_hr
max_hr
min_hr
std_hr
lf
hf
lf_hf_ratio
lfnu
hfnu
total_power
vlf
sd1
sd2
ratio_sd2_sd1
csi
cvi
Modified_csi
triangular_index
