,accuracy,f1-score,precision,recall,specificity
always_0_0,33.5 +- 1.4,48.8 +- 1.5,33.5 +- 1.4,100.0 +- 0.0,0.0 +- 0.0
always_0_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_0_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_1,47.0 +- 1.1,63.2 +- 1.1,47.0 +- 1.1,100.0 +- 0.0,0.0 +- 0.0
always_1_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_1_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_2_2,7.2 +- 0.7,12.9 +- 1.1,7.2 +- 0.7,94.3 +- 2.4,0.0 +- 0.0
always_2_3,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_1,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
always_3_3,12.3 +- 0.5,21.5 +- 0.8,12.3 +- 0.5,98.9 +- 1.1,0.0 +- 0.0
CNN_20_ENMO_0,52.6 +- 1.8,67.1 +- 1.7,79.7 +- 1.9,61.5 +- 2.0,91.0 +- 1.2
CNN_20_ENMO_1,53.0 +- 1.2,68.5 +- 1.1,56.9 +- 1.2,89.1 +- 1.3,39.8 +- 1.6
CNN_20_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_20_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.2 +- 0.4,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_0,55.8 +- 1.8,69.9 +- 1.6,77.0 +- 1.9,68.0 +- 2.0,88.3 +- 1.4
CNN_50_ENMO_1,52.8 +- 1.3,68.2 +- 1.2,58.0 +- 1.2,85.9 +- 1.6,44.5 +- 1.7
CNN_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_50_ENMO_3,0.0 +- 0.0,0.1 +- 0.0,2.5 +- 1.5,0.0 +- 0.0,100.0 +- 0.0
CNN_100_ENMO_0,56.3 +- 1.9,70.3 +- 1.7,78.9 +- 1.9,67.1 +- 2.0,89.7 +- 1.3
CNN_100_ENMO_1,53.6 +- 1.3,68.9 +- 1.2,58.3 +- 1.2,87.7 +- 1.5,43.7 +- 1.7
CNN_100_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
CNN_100_ENMO_3,0.1 +- 0.1,0.2 +- 0.1,4.3 +- 2.1,0.1 +- 0.1,100.0 +- 0.0
LSTM_20_ENMO_0,52.4 +- 1.8,66.9 +- 1.7,80.2 +- 1.9,60.7 +- 2.0,91.7 +- 1.0
LSTM_20_ENMO_1,53.3 +- 1.2,68.8 +- 1.1,56.8 +- 1.2,89.9 +- 1.2,39.1 +- 1.6
LSTM_20_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_20_ENMO_3,0.0 +- 0.0,0.0 +- 0.0,0.7 +- 0.8,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_0,55.2 +- 1.8,69.3 +- 1.7,80.3 +- 1.9,64.3 +- 2.0,91.1 +- 1.1
LSTM_50_ENMO_1,53.7 +- 1.2,69.1 +- 1.1,57.7 +- 1.2,89.2 +- 1.3,41.5 +- 1.7
LSTM_50_ENMO_2,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,0.0 +- 0.0,100.0 +- 0.0
LSTM_50_ENMO_3,0.0 +- 0.0,0.1 +- 0.1,0.6 +- 0.8,0.0 +- 0.0,99.9 +- 0.0
